document_id,title,file_path,category,document_type,status,priority,date_created,date_modified,next_review,tags,schema_version
PROXMOX-NODE-RENAME-2026-001,Смена hostname узла Proxmox VE до вступления в кластер,02_Installation/Смена hostname узла Proxmox VE.md,02_Installation,setup,completed,high,2026-08-30,2026-09-11,2026-12-01,ProxmoxVE;Configuration;Hostname,1.0
HARDWARE-HUAWEI-2288H-PORTMAP-2026-001,Комплектация и маппинг сетевых портов Huawei 2288H V5 — подключение Proxmox без оптики,01_Hardware/Комплектация и маппинг портов Huawei 2288H V5.md,01_Hardware,reference,completed,medium,2026-08-30,2026-09-11,2026-12-01,Hardware;Huawei-2288H-V5;Intel-X722;Intel-X710;DAC-cable;ProxmoxVE,1.0
PROXMOX-WEBGUI-DATACENTER-2026-001,Справочник по меню Datacenter в веб-интерфейсе Proxmox VE: общие пункты HA SDN,03_Network/Справочник меню Datacenter Proxmox VE.md,03_Network,reference,completed,info,2026-08-30,2026-09-11,2026-12-01,ProxmoxVE;WebGUI;HA;SDN,1.0
NETWORK-SFP-OPTICAL-MISMATCH-2026-001,Диагностика оптические SFP-модули 1000BASE-SX вместо SFP+ RJ45 на Intel X710,06_Troubleshooting/Диагностика SFP-модулей Intel X710.md,06_Troubleshooting,troubleshooting,completed,high,2026-09-02,2026-09-11,2026-12-01,Troubleshooting;Intel-X710;SFP+;Optics;Switches;Diagnostics,1.0
NETWORK-BOND0-CEPH-ACTIVEBACKUP-2026-001,Настройка bond0 active-backup для выделенной сети Ceph между pve01 и pve02,03_Network/Настройка bond0 active-backup для сети Ceph.md,03_Network,setup,completed,high,2026-09-02,2026-09-11,2026-12-01,ProxmoxVE;Networking;Bonding;bond0;HighAvailability,1.0
LINUX-SSH-DEBIAN-ACCESS-2026-001,Чек-лист диагностики: доступ по SSH к Debian (неверный адрес PermitRootLogin статический IP),06_Troubleshooting/Диагностика SSH-доступа к Debian.md,06_Troubleshooting,troubleshooting,completed,high,2026-08-30,2026-09-02,2026-12-01,Troubleshooting;SSH;Debian;Security,1.0
LINUX-SSH-PAM-SYSTEMD-ZABBIX-2026-001,Устранение задержки SSH-входа в LXC (zabbix) из-за pam_systemd.so,06_Troubleshooting/Задержка SSH в LXC pam_systemd.md,06_Troubleshooting,troubleshooting,completed,medium,2026-09-11,2026-09-11,2026-12-11,SSH;OpenSSH;PAM;pam_systemd;systemd-logind;LXC;Debian;NAMESPACE;zabbix,1.0
PROXMOX-VM-MEMORY-BALLOON-2026-001,Некорректное отображение расхода RAM в Proxmox при использовании QEMU Guest Agent,06_Troubleshooting/Некорректный расход RAM QEMU Guest Agent.md,06_Troubleshooting,troubleshooting,completed,medium,2026-09-02,2026-09-07,2026-12-01,ProxmoxVE;QEMUGuestAgent;VirtIO;BalloonService;WindowsServer2025;Diagnostics,1.0
PROXMOX-POSTINSTALL-SCRIPT-2026-001,Скрипт первичной настройки Proxmox VE pstInstall — типовые ответы для одного узла без подписки,02_Installation/Скрипт первичной настройки Proxmox VE pstInstall.md,02_Installation,setup,completed,medium,2026-08-30,2026-09-02,2026-12-01,ProxmoxVE;Automation;Bash;Setup,1.0
PROXMOX-LXC-DEBIAN12-TEMPLATE-2026-001,Создание шаблона Debian 12 LXC в Proxmox VE и развёртывание клонов,02_Installation/Шаблон Debian 12 LXC и клонирование.md,02_Installation,setup,completed,medium,2026-09-03,2026-09-03,2026-12-01,ProxmoxVE;LXC;Debian12;Template;Automation,1.0
